japones,español
ここ,aqui
そこ,ahi
あそこ,alli
どこ,donde
こちら,aqui c
そちら,ahi c
あちら,alli c
どちら,donde c
きょうしつ,aula
しょくどう,comedor
じむしょ,oficina
かいぎしつ,sala de reuniones
うけつけ,recepcion
ロビー,vestibulo
へや,habitacion
トイレ,baño
おてあらい,tocador
かいだん,escalera
エレベーター,elevador
エスカレーター,escalera electrica
じどうはんばいき,maquina expendedora
でんわ,telefono
おくに,pais
かいしゃ,empresa
うち,casa
くつ,calzado
ネクタイ,corbata
ワイン,vino
うりば,seccion
ちか,sotano
かい,piso
えん,yen
いくら,cuanto
すみません,disculpe
どうも,gracias
いらっしゃいませ,bienvenido
をみせてください,"por favor, puede moestrarme"
じゃ,bueno
をください,"por favor, puede darme"
