japones,español
おきます,despertar
ねます,dorimir
はたらきます,trabajar
やすみます,descansar
べんきょうします,estudiar
おわります,terminar
デパート,tienda departamental
ぎんこう,banco
ゆうびんきょく,oficina de correos
としょかん,biblioteca
びじゅつかん,museo de arte
いま,ahora
じ,hora
ふん,minutos
はん,media
なんじ,que hora
なんぷん,cuantos minutos
ごぜん,de la mañana
ごご,de la tarde
あさ,la mañana
ひる,tarde
ばん,noche
おととい,antier
きのう,ayer
きょう,hoy
あした,mañana
あさって,pasado mañana
けさ,esta mañana
こんばん,esta tarde
やすみ,descanso
ひるやすみ,descanso del almuerzo
しけん,examen
かいき,reunion
えいが,pelicula
まいあさ,todas las mañanas
まいばん,todas las tardes
まいにち,todos los dias
げつようび,lunes
かようび,martes
すいようび,miercoles
もくようび,jueves
きんようび,viernes
どようび,sabado
にちようび,domingo
なんようび,que dia
から,desde
まで,hasta
と,y
ばんごう,numero
なんばん,que numero
たいへんですね,que duro
ニューヨーク,new york
ペキン,pekin
ロンドン,london
