Japones,Español
いきます,ir
きます,venir
かえります,regresar
がっこう,escuela
スーパー,supermercado
えき,estacion
ひこうき,avion
ふね,barco
でんしゃ,tren electrico
ちかてつ,metro
バス,bus
タクシー,taxi
じてんしゃ,bicicleta
あるいて,a pie
ひと,persona
ともだち,amigos
かれ,novio
かのじょ,novia
かぞく,familia
ひとりで,solo
せんしゅう,semana pasada
こんしゅう,esta semana
らいしゅう,siguiente semana
せんげつ,mes pasado
こんげつ,este mes
らいげつ,siguiente mes
ねん,año
きょねん,año pasado
ことし,este año
らいねん,siguiente año
ついたち,1
ふつか,2
みっか,3
よっか,4
いつか,5
むいか,6
なのか,7
ようか,8
ここのか,9
とおか,10
じゅうよっか,14
はつか,20
にじゅうよっか,24
いつ,cuando
おたんじょうび,cumpleaños
ばんせん,anden
つぎの,siguiente
ふつう,tren local
きゅうにう,expreso
とっきゅう,super expreso
