japones,español 
たべます,comer
のみます,beber
すいます,fumar
みます,ver
ききます,escuchar
よみます,leer
かきます,escribir
とります,sacar
します,hacer
あいます,ver a
ごはん,comida
あさごはん,desayuno
ひるごはん,almuerzo
ばんごはん,cena
パン,pan
たまご,huevo
にく,carne
さかな,pescado
やさい,verduras
くだもの,frutas
みず,agua
おちゃ,te verde
こうちゃ,te negro
ぎゅうにゅう,leche
ジュース,jugo
ビール,cerveza
さけ,alcohol
たばこ,cigarro
てがみ,carta
レポート,reporte
しゃしん,foto
ビデオ,video
みせ,tienda
にわ,jardin
しゅくだい,tarea
テニス,tenis
サッカー,futbol
おはなみ,ver cerezos florecer
いっしょに,juntos
ちょっと,un poco
いつも,siempre
ときどき,a veces
なに,que
それから,y luego
ええ,si
いいですね,correcto
わかりました,entendido
なんですか,mande
じゃまたあした,hasta mañana
かいます,comprar
